id,name,credits,college,prereqs,subject,department
ANTH 100,Basic Archaeological Concepts,4,College of Letters and Science,,ANTH,Anthropology
ANTH 102,Activist Anthropology,4,College of Letters and Science,ANTH 2,ANTH,Anthropology
ANTH 103,Human-Wildlife Interactions,4,College of Letters and Science,,ANTH,Anthropology
ANTH 104,Risk & Inequality,4,College of Letters and Science,,ANTH,Anthropology
ANTH 105,Human Variation,4,College of Letters and Science,,ANTH,Anthropology
ANTH 107,Psychological Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 108,Educating the Native,4,College of Letters and Science,,ANTH,Anthropology
ANTH 109,Human Universals,4,College of Letters and Science,,ANTH,Anthropology
ANTH 110,Science Technology and Society,4,College of Letters and Science,,ANTH,Anthropology
ANTH 111,The Anthropology of Food,4,College of Letters and Science,,ANTH,Anthropology
ANTH 112,Bioarchaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 112Z,Theoretical Approaches in Contemporary Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 113,Indigenous People and the Nation State in the Americas,4,College of Letters and Science,"| ANTH 2, CH ST 1A",ANTH,Anthropology
ANTH 114MJ,Structuralism and Structural Functionalism,4,College of Letters and Science,,ANTH,Anthropology
ANTH 115,"Language, Culture, and Place",4,College of Letters and Science,ANTH 2,ANTH,Anthropology
ANTH 116A,"Myth, Ritual and Symbol",4,College of Letters and Science,,ANTH,Anthropology
ANTH 116B,Anthropological Approaches to Religion,4,College of Letters and Science,,ANTH,Anthropology
ANTH 116C,Anthropology of Religion Practicum,4,College of Letters and Science,,ANTH,Anthropology
ANTH 117,Borders and Borderlands,4,College of Letters and Science,,ANTH,Anthropology
ANTH 118,Archaeological Biogeochemistry,6,College of Letters and Science,ANTH 3 | CHEM 1; EARTH 2; GEOG 5; EEMB 21,ANTH,Anthropology
ANTH 118TS,Archaeology of the Ancient Near East,4,College of Letters and Science,| MES 45,ANTH,Anthropology
ANTH 119,Household Archaeology,4,College of Letters and Science,"| ANTH 3, ANTH 3SS",ANTH,Anthropology
ANTH 120MJ,Psychological and Phenomenological Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 121,Human Evolution,4,College of Letters and Science,,ANTH,Anthropology
ANTH 121T,"Genetics, Natural Selection, and Human Evolution",4,College of Letters and Science,,ANTH,Anthropology
ANTH 122MJ,Anthropology of Security,4,College of Letters and Science,,ANTH,Anthropology
ANTH 123,Feeding Ecology of Primates and Humans,4,College of Letters and Science,"ANTH 5, ANTH 153T",ANTH,Anthropology
ANTH 123MG,Data Analysis for the Social Sciences with R,4,College of Letters and Science,,ANTH,Anthropology
ANTH 124,Anthropological Political Economy,4,College of Letters and Science,,ANTH,Anthropology
ANTH 125,Anthropology of Gender,4,College of Letters and Science,ANTH 2,ANTH,Anthropology
ANTH 126,Laboratory Methods and Biomarkers for the Social Sciences,4,College of Letters and Science,,ANTH,Anthropology
ANTH 127MJ,Anthropology of Racial Slavery,4,College of Letters and Science,,ANTH,Anthropology
ANTH 129,Ethnographic Research Methods: Ethics and Engagement,4,College of Letters and Science,,ANTH,Anthropology
ANTH 129MG,Behavioral Ecology of Hunter Gatherers,4,College of Letters and Science,,ANTH,Anthropology
ANTH 130,International Development and Population Health,4,College of Letters and Science,,ANTH,Anthropology
ANTH 131,North American Indians,4,College of Letters and Science,,ANTH,Anthropology
ANTH 131CA,California Indigenous Peoples,4,College of Letters and Science,,ANTH,Anthropology
ANTH 132,Anthropology of Law,4,College of Letters and Science,,ANTH,Anthropology
ANTH 132TS,Ceramic Analysis in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 133,Cultural Development in Mesoamerica,4,College of Letters and Science,,ANTH,Anthropology
ANTH 134,Cultural Anthropology of Latin America,4,College of Letters and Science,,ANTH,Anthropology
ANTH 134A,Interdisciplinary Approaches to the History and Societies of Latin America and Iberia,4,College of Letters and Science,,ANTH,Anthropology
ANTH 135,Cultural Anthropology of Mexico,4,College of Letters and Science,ANTH 2,ANTH,Anthropology
ANTH 136MJ,Language and Social Signs,4,College of Letters and Science,,ANTH,Anthropology
ANTH 137,The Ancient Maya,4,College of Letters and Science,,ANTH,Anthropology
ANTH 138,Anthropology of Environmental Health,4,College of Letters and Science,ANTH 2,ANTH,Anthropology
ANTH 138TS,Archaeology of Egypt,4,College of Letters and Science,,ANTH,Anthropology
ANTH 139,Indigeneity and Sovereignty,4,College of Letters and Science,,ANTH,Anthropology
ANTH 139CH,"Landback, Reparations, and Solidarity Economies",4,College of Letters and Science,,ANTH,Anthropology
ANTH 141,Agriculture and Society in Mexico: Past and Present,4,College of Letters and Science,,ANTH,Anthropology
ANTH 142,Cultural Anthropology of South Asia,4,College of Letters and Science,,ANTH,Anthropology
ANTH 143F,Ethics in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 144,The Archaeology of Warfare,4,College of Letters and Science,,ANTH,Anthropology
ANTH 145,Anthropological Demography and Life History,4,College of Letters and Science,,ANTH,Anthropology
ANTH 146,Anthropology of Development,4,College of Letters and Science,,ANTH,Anthropology
ANTH 147,Water and Society,4,College of Letters and Science,,ANTH,Anthropology
ANTH 148,Ecological Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 148A,"Race, Racism and Anti-racism",4,College of Letters and Science,,ANTH,Anthropology
ANTH 150,Human Genetics,4,College of Letters and Science,"ANTH 9 | ANTH 5, ANTH 7",ANTH,Anthropology
ANTH 150B,Archaeology of Andean Civilizations,4,College of Letters and Science,,ANTH,Anthropology
ANTH 150C,The Inca Empire,4,College of Letters and Science,,ANTH,Anthropology
ANTH 151T,Evolutionary Psychology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 152,Environmental Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 153,Seminar on Primate and Human Sexual Behavior,4,College of Letters and Science,,ANTH,Anthropology
ANTH 153S,The Evolution of Human Sexuality,4,College of Letters and Science,,ANTH,Anthropology
ANTH 153T,Primate Behavior,4,College of Letters and Science,,ANTH,Anthropology
ANTH 155,Prehistory of California and the Great Basin,4,College of Letters and Science,,ANTH,Anthropology
ANTH 156,The Anthropology of Africa,4,College of Letters and Science,,ANTH,Anthropology
ANTH 157,Ethnographic Field Methods,4,College of Letters and Science,,ANTH,Anthropology
ANTH 157ES,Ethnographic Field Methods,4,College of Letters and Science,,ANTH,Anthropology
ANTH 157FS,Ethnographic Field Methods,4,College of Letters and Science,,ANTH,Anthropology
ANTH 159,Anthropology of War,4,College of Letters and Science,,ANTH,Anthropology
ANTH 161,Human Growth and Development,4,College of Letters and Science,,ANTH,Anthropology
ANTH 162,Prehistoric Food Production,4,College of Letters and Science,,ANTH,Anthropology
ANTH 162G,"Sacred Laws, Social Injustice: Caste in Indian Society",4,College of Letters and Science,,ANTH,Anthropology
ANTH 163,Archaeology of North America,4,College of Letters and Science,,ANTH,Anthropology
ANTH 164,The Origins of Complex Societies,4,College of Letters and Science,,ANTH,Anthropology
ANTH 167,People of the Ice Age,4,College of Letters and Science,,ANTH,Anthropology
ANTH 169,Evolution of Cooperation,4,College of Letters and Science,,ANTH,Anthropology
ANTH 170,Behavioral Ecology of the Family,4,College of Letters and Science,,ANTH,Anthropology
ANTH 171,Evolutionary Medicine,4,College of Letters and Science,"| ANTH 5, EEMB 2, EEMB 3; EEMB 2, EEMB 3, MCDB 1, MCDB 2",ANTH,Anthropology
ANTH 172,Colonialism and Power,4,College of Letters and Science,,ANTH,Anthropology
ANTH 173,The Anthropology of Disaster,4,College of Letters and Science,,ANTH,Anthropology
ANTH 174,Amazonia,4,College of Letters and Science,,ANTH,Anthropology
ANTH 175,Medical Anthropology,4,College of Letters and Science,ANTH 2,ANTH,Anthropology
ANTH 176,Representations of Sexuality in Modern Japan,4,College of Letters and Science,,ANTH,Anthropology
ANTH 176TS,Ancient Egyptian Religion,4,College of Letters and Science,,ANTH,Anthropology
ANTH 177,Infrastructural Inequalities,4,College of Letters and Science,ANTH 2,ANTH,Anthropology
ANTH 177AB,Human Reproduction Ecology and Endocrinology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 178,Internship in Archaeological Record-Keeping and Collections,4,College of Letters and Science,,ANTH,Anthropology
ANTH 179,The Anthropology of Disaster,4,College of Letters and Science,"ANTH 2, ANTH 3, ANTH 5",ANTH,Anthropology
ANTH 180,Archaeology of Ethnicity & Race,4,College of Letters and Science,,ANTH,Anthropology
ANTH 180A,Osteology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 180B,Osteology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 181,Methods and Techniques of Field Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 182,Quantitative Data Analysis in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
