id,name,credits,college,prereqs
CMPSC 5B,Introduction to Data Science 2,4,College of Engineering,"CMPSC 5A|CMPSC 8|ECE 3"
CMPSC 5A,Introduction to Data Science 1,4,College of Engineering,""
CMPSC 8,Introduction to Computer Science,4,College of Engineering,""
CMPSC 9,Intermediate Python Programming,4,College of Engineering,"CMPSC 8|CMPSC W8|ENGR 3|ENGR W3|ECE 3"
CMPSC 16,Problem Solving with Computers I,4,College of Engineering,"MATH 3A|MATH 2A|CMPSC 8|ENGR 3|ECE 3"
CMPSC 24,Problem Solving with Computers II,4,College of Engineering,"CMPSC 16|MATH 3B|MATH 2B"
CMPSC 32,Object Oriented Design and Implementation,4,College of Engineering,"CMPSC 24"
CMPSC 40,Foundations of Computer Science,5,College of Engineering,"CMPSC 16|MATH 4A"
CMPSC 64,Computer Organization and Logic Design,4,College of Engineering,"CMPSC 16|MATH 3C|MATH 4A"
CMPSC 99,Independent Studies in Computer Science,1,College of Engineering,""
CMPSC 100,Introduction to Teaching Methods in Computer Science,4,College of Engineering,""
CMPSC 110,Introduction to Research in Computer Science,4,College of Engineering,"CMPSC 40|CMPSC 32"
CMPSC 111,Introduction to Computational Science,4,College of Engineering,"MATH 4B|MATH 6A|CMPSC 24"
CMPSC 130A,Data Structures and Algorithms I,4,College of Engineering,"CMPSC 40|MATH 8|CMPSC 9|CMPSC 24|PSTAT 120A|ECE 139"
CMPSC 130B,Data Structures and Algorithms II,4,College of Engineering,"CMPSC 130A"
CMPSC 132,Algorithms Engineering,4,College of Engineering,""
CMPSC 134,Randomized Algorithms,4,College of Engineering,"CMPSC 130B"
CMPSC 138,Automata and Formal Languages,4,College of Engineering,"CMPSC 40"
CMPSC 140,Parallel Computing,4,College of Engineering,"MATH 4A|CMPSC 32|CMPSC 130A"
CMPSC 148,Computer Science Project,4,College of Engineering,"CMPSC 32"
CMPSC 153A,Hardware/Software Interface,4,College of Engineering,""
CMPSC 154,Computer Architecture,4,College of Engineering,"CMPSC 32|CMPSC 64"
CMPSC 156,Advanced Applications Programming,4,College of Engineering,"CMPSC 24|CMPSC 32"
CMPSC 160,Translation of Programming Languages,4,College of Engineering,"CMPSC 32|CMPSC 64|ECE 154A|CMPSC 130A|CMPSC 138"
CMPSC 162,Programming Languages,4,College of Engineering,"CMPSC 130A|CMPSC 138"
CMPSC 165A,Artificial Intelligence,4,College of Engineering,"CMPSC 130A"
CMPSC 165B,Machine Learning,4,College of Engineering,"CMPSC 130A"
CMPSC 170,Operating Systems,4,College of Engineering,"CMPSC 130A|CMPSC 154|ECE 154A"
CMPSC 171,Distributed Systems,4,College of Engineering,"CMPSC 130A"
CMPSC 172,Software Engineering,4,College of Engineering,"CMPSC 130A"
CMPSC 174A,Fundamentals of Database Systems,4,College of Engineering,"CMPSC 32|CMPSC 130A"
CMPSC 174B,Design and Implementation Techniques of Database Systems,4,College of Engineering,"CMPSC 130B"
CMPSC 176A,Introduction to Computer Communication Networks,4,College of Engineering,"CMPSC 32|PSTAT 120A|ECE 139"
CMPSC 176B,Network Computing,4,College of Engineering,"CMPSC 176A"
